Q1.csv
id; best s1; best s2 ; best s3 ; best lap; total time
| id |   s1  |   s2  |   s3  | best lap | best s1 | best s2 | best s3 | pitstop | crash 
|----|-------|-------|-------|----------|---------|---------|---------|---------|-------
| 23 | 38.88 | 35.01 | 32.74 |   80.41  |  28.16  |  25.46  |  25.37  |      1  |false  
| 81 | 38.73 | 40.79 | 35.07 |   83.09  |  27.04  |  25.67  |  26.51  |      2  |false  
| 44 | 40.51 | 30.31 | 34.41 |   83.16  |  25.97  |  27.80  |  26.47  |      1  |false  
| 77 | 28.40 | 28.88 | 31.92 |   84.63  |  27.71  |  25.12  |  25.22  |      0  |false  
| 10 | 28.70 | 34.69 | 41.78 |   85.33  |  27.77  |  26.48  |  28.22  |      0  |false  
|  3 | 33.73 | 33.56 | 36.60 |   85.38  |  29.41  |  28.08  |  25.95  |      1  |false  
|  2 | 34.60 | 37.98 | 38.16 |   85.88  |  27.01  |  28.50  |  25.22  |      3  |false  
| 27 | 25.35 | 34.45 | 26.97 |   86.78  |  25.35  |  26.51  |  26.97  |      3  |false  
| 16 | 25.69 | 38.36 | 40.62 |   86.86  |  25.46  |  25.18  |  28.15  |      3  |false  
| 20 | 30.75 | 30.48 | 32.56 |   87.01  |  25.45  |  30.48  |  26.44  |      0  |false  
|  4 | 28.79 | 36.38 | 37.03 |   88.48  |  26.09  |  28.20  |  25.01  |      2  |false  
| 55 | 25.68 | 43.43 | 26.46 |   88.59  |  25.68  |  26.44  |  25.55  |      0  |false  
|  1 | 43.44 | 39.90 | 37.98 |   89.65  |  28.41  |  25.24  |  28.11  |      2  |false  
| 22 | 44.30 | 27.58 | 36.37 |   89.91  |  26.61  |  25.59  |  25.05  |      0  |false  
| 11 | 39.44 | 38.30 | 42.88 |   92.00  |  28.34  |  26.68  |  25.49  |      2  |false  
| 24 | 43.24 | 37.56 | 32.62 |   94.01  |  26.60  |  30.04  |  27.77  |      2  |false  
| 18 | 44.05 | 31.50 | 33.79 |   96.35  |  26.56  |  25.49  |  32.22  |      0  |true  
| 31 | 37.06 | 28.68 | 32.22 |   97.95  |  37.06  |  28.68  |  32.22  |      0  |true  
| 63 | 25.47 | 35.45 | 40.88 |   98.59  |  25.47  |  25.06  |  25.81  |      0  |false  
| 14 | 29.26 | 36.39 | 40.22 |  100.47  |  29.26  |  29.12  |  33.47  |      0  |true  
