race.csv
id; best s1; best s2 ; best s3 ; best lap; total time
| id |   s1  |   s2  |   s3  | best lap | best s1 | best s2 | best s3 | pitstop | crash 
|----|-------|-------|-------|----------|---------|---------|---------|---------|-------
| 10 | 35.97 | 25.16 | 25.12 |   77.44  |  25.20  |  25.16  |  25.12  |      8  |true  
| 31 | 35.37 | 30.90 | 41.48 |   80.08  |  25.81  |  26.56  |  26.16  |      3  |true  
| 16 | 40.46 | 30.40 | 40.54 |   80.22  |  25.52  |  25.02  |  26.21  |      1  |true  
|  2 | 25.90 | 25.22 | 29.17 |   80.30  |  25.90  |  25.22  |  29.17  |      0  |true  
|  4 | 38.56 | 41.02 | 43.42 |   81.17  |  25.09  |  25.04  |  25.46  |      5  |true  
| 22 | 29.11 | 28.07 | 37.46 |   81.35  |  25.48  |  25.01  |  25.03  |      7  |true  
| 24 | 35.71 | 32.18 | 31.32 |   81.70  |  25.10  |  25.74  |  25.07  |      6  |false  
| 77 | 43.43 | 34.49 | 30.13 |   82.66  |  25.26  |  25.33  |  25.22  |     12  |false  
| 44 | 37.99 | 36.41 | 25.41 |   83.01  |  25.10  |  25.11  |  25.16  |      8  |true  
| 18 | 27.27 | 26.69 | 29.37 |   83.34  |  25.08  |  25.22  |  25.32  |      8  |true  
| 23 | 31.47 | 43.92 | 37.15 |   85.16  |  25.02  |  25.51  |  25.37  |      5  |true  
| 81 | 28.20 | 41.98 | 28.29 |   86.49  |  27.08  |  27.95  |  26.65  |      0  |true  
| 63 | 26.75 | 34.71 | 26.17 |   86.60  |  25.63  |  25.11  |  25.38  |      6  |true  
| 55 | 38.86 | 34.55 | 27.09 |   89.21  |  25.12  |  26.80  |  25.66  |      2  |true  
|  1 | 30.82 | 39.97 | 35.87 |   89.22  |  25.48  |  25.41  |  25.14  |      0  |true  
| 20 | 43.66 | 32.58 | 40.73 |   90.92  |  28.42  |  27.66  |  25.75  |      3  |true  
| 11 | 42.80 | 41.67 | 28.14 |   90.99  |  25.06  |  25.09  |  26.54  |      6  |true  
|  3 | 28.47 | 41.46 | 30.17 |   93.35  |  25.35  |  25.13  |  25.33  |      2  |true  
| 27 | 44.28 | 39.34 | 37.48 |   93.60  |  25.75  |  25.78  |  26.34  |      2  |true  
| 14 | 27.79 | 29.23 | 42.35 |   95.23  |  27.79  |  27.69  |  32.25  |      0  |true  
